swiss_french,standard_french,dialect,part_of_speech,definition,source,notes
verbes,,vaud,unknown,".Agencer signifie disposer ,ajuster .Engeancer veut",Glossaire vaud (1861),Line 311
dire,,vaud,unknown,embarrasser quelqu'un :quinous aengeancés decet,Glossaire vaud (1861),Line 312
homme,,vaud,unknown,"?-SS'agencer ,veut dire separer . n'ai trouvé l'expression garde -police dans aucun diction-",Glossaire vaud (1861),Line 313
naire,,vaud,unknown,.,Glossaire vaud (1861),Line 316
abien,,vaud,unknown,"uséavec nous ,ouilabien,mal agiavec....",Glossaire vaud (1861),Line 319
aeucours,,vaud,unknown,enFrance sous plusieurs rois.Nous disons avoir,Glossaire vaud (1861),Line 322
desaguenettes,,vaud,unknown,",pour dire avoir del'argent ;mais cemotP.F.",Glossaire vaud (1861),Line 323
onnepeut,pasdire:ilm'aagonisé pour :ilm'aditdescho-,vaud,unknown,pasdire:ilm'aagonisé pour :ilm'aditdescho-,Glossaire vaud (1861),Line 325
sesextrêmement,pénibles ,vaud,unknown,pénibles .,Glossaire vaud (1861),Line 326
maillettes,D.desagrafes etdesbouclettes ,vaud,unknown,;D.desagrafes etdesbouclettes .,Glossaire vaud (1861),Line 328
sister,,vaud,unknown,":aider quelqu'un desabourse .Aider àquelqu'un ,c'est l'assister enpartageant sesefforts ,safatigue ,sonembar- ras:aider àquelqu'un àporter unfardeau .-Aider enpar-",Glossaire vaud (1861),Line 332
lant,,vaud,unknown,des choses estsuivi deà:aider àune affaire .,Glossaire vaud (1861),Line 335
baigner,,vaud,unknown,dans l'eau jusqu'au ventre .Onnepeut dire ni,Glossaire vaud (1861),Line 337
aigayer,,vaud,unknown,",niirriguer pour arroser ;cependant lesubs.irriga-",Glossaire vaud (1861),Line 338
tionestfrançais,,vaud,unknown,".-Guéer ,v.a.,signifie baigner ,laver dans l'eau .Guéer uncheval ,lefaire entrer dans larivière etl'y",Glossaire vaud (1861),Line 339
promener,,vaud,unknown,"pour lelaver etlerafraîchir .Guéer dulinge,le",Glossaire vaud (1861),Line 341
laver,,vaud,unknown,"etleremuer quelque temps dans l'eau ,avant de",Glossaire vaud (1861),Line 342
letordre,Acad .,vaud,unknown,".(Acad .)Onditaussi ,aigayer dulinge.Voy.rincer ,",Glossaire vaud (1861),Line 343
égayer,,vaud,unknown,.,Glossaire vaud (1861),Line 344
sedire,pour avare ,vaud,unknown,pour avare .,Glossaire vaud (1861),Line 346
mieux,,vaud,unknown,"rejette toute préposition :aimer àécrire ,aimer mieux",Glossaire vaud (1861),Line 350
écrire,,vaud,unknown,".-Aimer mieux ,suivi d'un infinitif ,estquelquefois",Glossaire vaud (1861),Line 351
suivi,"deque,etquelquefois dequede.Lepremier sedit",vaud,unknown,"deque,etquelquefois dequede.Lepremier sedit",Glossaire vaud (1861),Line 352
quand,,vaud,unknown,ils'agit d'une préférence degoût :j'aime mieux chan-,Glossaire vaud (1861),Line 353
terque,,vaud,unknown,danser .Lesecond s'emploie quand ils'agit d'une 16 AIN,Glossaire vaud (1861),Line 354
préférence,,vaud,unknown,devolonté :j'aime mieux luipardonner quede,Glossaire vaud (1861),Line 356
leréduire,audésespoir ,vaud,unknown,audésespoir .,Glossaire vaud (1861),Line 357
locution,,vaud,unknown,"ainsi ainsi ,que nous employons dans différentes",Glossaire vaud (1861),Line 360
acceptions,,vaud,unknown,".Ex.:J'ai étéàLutry ,ainsi ainsi .Aimez -vous",Glossaire vaud (1861),Line 361
lesépinards,,vaud,unknown,?Ainsi ainsi .Comment va-t-il?Ainsi ainsi .Ilest,Glossaire vaud (1861),Line 362
venu,,vaud,unknown,ainsi ainsi meprier deluiprêter unécu.,Glossaire vaud (1861),Line 363
rituel,,vaud,unknown,",etnon pas l'air bonne ,l'air spirituelle ;mais onne",Glossaire vaud (1861),Line 365
dira,,vaud,unknown,"pas:cette pomme al'air cuit.Dans cecas,ilfaut",Glossaire vaud (1861),Line 366
prendre,,vaud,unknown,unautre tour etdire cette pomme al'air d'être,Glossaire vaud (1861),Line 367
cuite,,vaud,unknown,.C'est cequidoit arriver toutes lesfois quel'adjectif,Glossaire vaud (1861),Line 368
nepeut,,vaud,unknown,sedire raisonnablement dumot air.,Glossaire vaud (1861),Line 369
être,,vaud,unknown,"dans l'aisance ,N.P.nonplus :ilestbien,ilesttrès bien.",Glossaire vaud (1861),Line 373
Est,,vaud,unknown,"ilriche ?Jenesais pas,mais jecrois qu'il estbien,",Glossaire vaud (1861),Line 374
ajouté,,vaud,unknown,"àl'extrémité decelui d'une fontaine oud'un jet-d'eau ,",Glossaire vaud (1861),Line 382
pour,,vaud,unknown,donner aujetlagrosseur qu'il doit avoir .N.P.Un,Glossaire vaud (1861),Line 383
ajustage,,vaud,unknown,.,Glossaire vaud (1861),Line 384
cove," lesAllemagnes ,P.F",vaud,unknown,". lesAllemagnes ,P.F.",Glossaire vaud (1861),Line 388
leretour,,vaud,unknown,;jesuisallé nelesuppose pas.-Jefusnedoit ja-,Glossaire vaud (1861),Line 397
mais,,vaud,unknown,s'employer pour j'allai .-Leverbe s'enaller exige que,Glossaire vaud (1861),Line 398
lepronom,,vaud,unknown,enprécède toujours l'auxiliaire ;ainsi ilfautdire:,Glossaire vaud (1861),Line 399
sommes,,vaud,unknown,"allés ,etc.,etnon jemesuis enallé,tut'es enallé, etc. Ondoit écrire va-t'en,etnon pasva-t-en,t'étant un",Glossaire vaud (1861),Line 401
pronom,,vaud,unknown,"etnon une lettre euphonique .-L'usage permet dedire:Ilestalléseplaindre ,etils'est alléplaindre .-",Glossaire vaud (1861),Line 403
aller,,vaud,unknown,dans plusieurs ....-N.P.aller àáne;D.aller surun âne.Allez !motsouvent employé àlafindesphrases comme,Glossaire vaud (1861),Line 406
pour,,vaud,unknown,"affirmer :Ilsera puni,allez !allez seulement .Chacun",Glossaire vaud (1861),Line 408
comprend,,vaud,unknown,"l'expression ,vatefaire lanlaire oulanlire ,P.F.",Glossaire vaud (1861),Line 409
quer,,vaud,unknown,"....-Faire unepistée ,P.F. l'allée etleretour ;D.l'aller etlevenir ;mais ondittrèsbien",Glossaire vaud (1861),Line 411
desallées,,vaud,unknown,"etdesvenues ,pour dire:lesdémarches qu'on fait",Glossaire vaud (1861),Line 414
dans,une affaire ,vaud,unknown,une affaire .,Glossaire vaud (1861),Line 415
allonge,ouunerallonge ,vaud,unknown,ouunerallonge .,Glossaire vaud (1861),Line 417
lumer,,vaud,unknown,"lefeu.Nedites donc pas:Allumez lalumière ,allu-",Glossaire vaud (1861),Line 419
mez,,vaud,unknown,lefeu;D.allumez lachandelle ;faites dufeu. 18 ALO,Glossaire vaud (1861),Line 420
laudi,,vaud,unknown,",j'ailatête toute abelaudie ;D.jesuis tout alourdi ,j'ai",Glossaire vaud (1861),Line 427
latête,tout alourdie ,vaud,unknown,tout alourdie .,Glossaire vaud (1861),Line 428
geonner,,vaud,unknown,.,Glossaire vaud (1861),Line 432
molles,,vaud,unknown,.D.des amandes àlaprincesse .-N.P.des amandres .,Glossaire vaud (1861),Line 434
cequireste,,vaud,unknown,.N.P.amassez votre assiette .-N .P.cedoigt,Glossaire vaud (1861),Line 436
amasse,,vaud,unknown,",pour exprimer quetôtoutard ilentrera ensupura-",Glossaire vaud (1861),Line 437
tion,,vaud,unknown,.,Glossaire vaud (1861),Line 438
trice,,vaud,unknown,pour leféminin .L'usage n'apoint consacré cetemploi .,Glossaire vaud (1861),Line 440
homme,Acad .,vaud,unknown,".Lev.affautir etl'adjectif affauti ,P.F. (Acad .)N.P.s'enmouracher . l'imputation .",Glossaire vaud (1861),Line 446
déterminé,,vaud,unknown,",mais nondivisible enparties ;l'année estune",Glossaire vaud (1861),Line 452
durée,,vaud,unknown,déterminée etdivisible enparties .N.P.l'ansedivise,Glossaire vaud (1861),Line 453
endouze,,vaud,unknown,mois ;D.l'année sedivise endouze mois .Anet,Glossaire vaud (1861),Line 454
jour,,vaud,unknown,signifie unanrévolu plus unjour.N.P.antet jour.-,Glossaire vaud (1861),Line 455
anchois,deszanchois,vaud,unknown,enliant (deszanchois ).,Glossaire vaud (1861),Line 460
chaque,,vaud,unknown,pas qu'il fait;rangée defoin fauchée .N.P.un,Glossaire vaud (1861),Line 462
andet,,vaud,unknown,". d'ignorant ,destupide ;anicroche signifie difficulté ,obstacle",Glossaire vaud (1861),Line 463
quiaccroche,,vaud,unknown,une affaire :Cemonde estrempli d'anicroches .,Glossaire vaud (1861),Line 469
pour,,vaud,unknown,publier àl'église lapromesse demariage faite entre,Glossaire vaud (1861),Line 471
deux,,vaud,unknown,"personnes ;D.lepremier ban,lesecond ban,letroi-",Glossaire vaud (1861),Line 472
sième,,vaud,unknown,ban .Publier lesbans .,Glossaire vaud (1861),Line 473
etnon,,vaud,unknown,"pasuneantagoniste ,uncharmant antagoniste .",Glossaire vaud (1861),Line 475
défendre,,vaud,unknown,.Onaposte pour faire unmauvais coup . d'une barque .N.P.lesapoustis .,Glossaire vaud (1861),Line 482
ensemble,,vaud,unknown,"des choses pareilles ;appareiller desvases ,des",Glossaire vaud (1861),Line 486
tableaux,,vaud,unknown,",deschevaux :Voilà unbeau cheval decarosse ,je",Glossaire vaud (1861),Line 487
voudrais,,vaud,unknown,"bien l'appareiller .-Apparier ,unir par paires : 20 APP l'appréhender aucorps ,l'arrêter .Onemployait autrefois le",Glossaire vaud (1861),Line 488
verbe,,vaud,unknown,grupper pour prendre .Onlitdans Villon :,Glossaire vaud (1861),Line 496
cequisignifie,lesplus finsysont pris,vaud,unknown,lesplus finsysont pris.,Glossaire vaud (1861),Line 498
maître,,vaud,unknown,"enseigne ,l'élève apprend . àrire,donner occasion derire àsesdépens .N.P.prêter à",Glossaire vaud (1861),Line 500
rire,,vaud,unknown,". tres.N.P,unappuie -main .",Glossaire vaud (1861),Line 504
demandez,,vaud,unknown,-vous ?demander après ...P.F.,Glossaire vaud (1861),Line 508
sont,dugenre féminin ,vaud,unknown,dugenre féminin .,Glossaire vaud (1861),Line 510
gnée,,vaud,unknown,",une iragne .-N.P.aragner ,araigner unechambre . ...ressambloyent àl'iraingne quifaict lesraiz pour prendre les",Glossaire vaud (1861),Line 512
mousches,,vaud,unknown,". tre.N.P.raser . qu'autrefois àlaCour ,onprononçait ainsi lemotarbre .",Glossaire vaud (1861),Line 516
touffeur,,vaud,unknown,.,Glossaire vaud (1861),Line 528
unarguillon,,vaud,unknown,.,Glossaire vaud (1861),Line 530
mot,,vaud,unknown,nes'emploie qu'en parlant desbâtiments .Nedites donc,Glossaire vaud (1861),Line 532
pas,,vaud,unknown,"enparlant d'un homme quisuccombait sous lepoids d'un fardeau :Ilarenait .-Arrener ouarraner ,briser les",Glossaire vaud (1861),Line 533
reins,R.W,vaud,unknown,;R.W.,Glossaire vaud (1861),Line 535
trouver,,vaud,unknown,"court d'argent .—N.P.avoir del'avance ,desavan-",Glossaire vaud (1861),Line 537
cespour,,vaud,unknown,dire avoir del'argent devant soi.Argent depoche ;,Glossaire vaud (1861),Line 538
lesdictionnaires,,vaud,unknown,disent argent delapoche .,Glossaire vaud (1861),Line 539
membre,Sup.,vaud,unknown,seul;synonyme d'atrophie .(Sup.)N.P.avoir le,Glossaire vaud (1861),Line 543
décroît,,vaud,unknown,aubras ;D.avoir une aridure aubras.(Voy.Dé-,Glossaire vaud (1861),Line 544
croît,),vaud,unknown,.),Glossaire vaud (1861),Line 545
debois,,vaud,unknown,"pour serrer deshardes ,etc.Buffet ,espèce d'armoire",Glossaire vaud (1861),Line 548
pour,,vaud,unknown,"enfermer lavaisselle etlelinge detable .Dans lesbals,",Glossaire vaud (1861),Line 549
table,"oùsontdesmets,duvin,etc.etdont s'approchent ceux",vaud,unknown,"oùsontdesmets,duvin,etc.etdont s'approchent ceux",Glossaire vaud (1861),Line 550
quiveulent,,vaud,unknown,"boire oumanger :Iln'yavait pasdesouper à cebal,mais ilyavait unbuffet trèsbien garni .Buffet sedit",Glossaire vaud (1861),Line 551
aussi,,vaud,unknown,pour restaurant dans leDictionnaire deschemins de fer.,Glossaire vaud (1861),Line 553
luifaire,,vaud,unknown,entendre raison .N.P.raisonner quelqu'un .Jel'ai,Glossaire vaud (1861),Line 556
arraisonné,Acad .,vaud,unknown,"àcesujet ,etils'est rendu .(Acad .)",Glossaire vaud (1861),Line 557
sieur,,vaud,unknown,"lejuge rangerons ça;range tonfichu ,tonbonnet ,etc. 22 ARR",Glossaire vaud (1861),Line 559
lais,,vaud,unknown,.,Glossaire vaud (1861),Line 563
tion,,vaud,unknown,.,Glossaire vaud (1861),Line 566
terlescontrevents,Leverbe crocher P.F,vaud,unknown,.Leverbe crocher P.F.,Glossaire vaud (1861),Line 568
nides,harrhes enaspirant ,vaud,unknown,harrhes enaspirant .,Glossaire vaud (1861),Line 570
enprésence,,vaud,unknown,etledéchire parderrière ;D.illeloue enpré-,Glossaire vaud (1861),Line 572
sence,etledéchire enarrière ,vaud,unknown,etledéchire enarrière .,Glossaire vaud (1861),Line 573
nard,,vaud,unknown,".-Donner dans letraquet ,dans labosse,signifie selais-",Glossaire vaud (1861),Line 576
sertromper,,vaud,unknown,parquelque artifice .N.P.donner dans letra-,Glossaire vaud (1861),Line 577
quenard,,vaud,unknown,.,Glossaire vaud (1861),Line 578
insectes,,vaud,unknown,":Cebois esttout artisonné .N.P.cironé . tiste,etnonpasunebonne artiste .",Glossaire vaud (1861),Line 580
dont,,vaud,unknown,onfaitdesinfusions .N.P.del'hépatique ;l'hépatique n'est pasl'aspérule .,Glossaire vaud (1861),Line 586
une,,vaud,unknown,assiette desoupe ;D.une assiettée de.....,Glossaire vaud (1861),Line 591
assis,,vaud,unknown,etlevée .N.P.parassise etlever .,Glossaire vaud (1861),Line 593
deler,,vaud,unknown,.,Glossaire vaud (1861),Line 597
personne,,vaud,unknown,",quand ilsignifie témoigner :Assurez -ledemon",Glossaire vaud (1861),Line 599
estime,,vaud,unknown,";etunrégime indirect depersonne ,lorsqu'il veutdire",Glossaire vaud (1861),Line 600
donner,,vaud,unknown,pour sûr:Assurez -luique nous sommes réconciliés .,Glossaire vaud (1861),Line 601
assuré,,vaud,unknown,"une domestique ;D.j'aiarrêté ,retenu une domesti-",Glossaire vaud (1861),Line 603
que,,vaud,unknown,.,Glossaire vaud (1861),Line 604
laretourne,,vaud,unknown,.,Glossaire vaud (1861),Line 607
pas,un,vaud,unknown,un....,Glossaire vaud (1861),Line 609
rer,,vaud,unknown,"tard .N.P.seretarder . tre;D.unhomme titré;mais onditUntémoin attitré ,c'est-",Glossaire vaud (1861),Line 611
à-dire,,vaud,unknown,"suborné ,unassassin attitré ,c'est -à-dire payé .",Glossaire vaud (1861),Line 614
oiseau,etc.D.attraper ouprendre un,vaud,unknown,",etc.D.attraper ouprendre un.....",Glossaire vaud (1861),Line 616
oiseaux,,vaud,unknown,.N.P.uneauge ;cemot seditenparlant des che-,Glossaire vaud (1861),Line 619
vaux,,vaud,unknown,.,Glossaire vaud (1861),Line 620
phrase,,vaud,unknown,suivante :Demeurez -vous toujours chez M.N***? -Non .Pourquoi ?-Parce qu'il m'a augmenté .D.aug-,Glossaire vaud (1861),Line 622
menté,,vaud,unknown,"leprix demon loyer . jusqu'à aujourd'hui etjusqu'aujourd'hui .-N.P.aujord'hui , oujourd'hui . 24 AUL",Glossaire vaud (1861),Line 624
caresse,,vaud,unknown,une écorce d'aune .,Glossaire vaud (1861),Line 632
ravant,,vaud,unknown,departir ;auparavant quevous partiez ;D.avant de,Glossaire vaud (1861),Line 635
partir,,vaud,unknown,;avant quevous partiez .,Glossaire vaud (1861),Line 636
patois,,vaud,unknown,"picard ,dindin signifie petit doigt . auxadj.etauxadv.:Sisage,aussi savant ,sisagement ,",Glossaire vaud (1861),Line 639
aussi,,vaud,unknown,"savamment .Tant ,autant aux autres mots :Tant de",Glossaire vaud (1861),Line 643
sagesse,,vaud,unknown,",autant depréjugés ;ilétudie tant;autant aimé qu'admiré .D'où ilsuit,quesinepeut modifier nileslo-",Glossaire vaud (1861),Line 644
cutions,,vaud,unknown,"adverbiales nilessubstantifs ,etqu'on nedoit pas",Glossaire vaud (1861),Line 646
dire,,vaud,unknown,":Ilétait sienpeine ,siencolère ,siàl'aise ;ilestvenu",Glossaire vaud (1861),Line 647
siàpropos,,vaud,unknown,",ileutsipeur que....Ilfautdire :Ilétait sifort en",Glossaire vaud (1861),Line 648
peine,,vaud,unknown,",sifort encolère ,sibien àl'aise ;ilestvenu sibien à",Glossaire vaud (1861),Line 649
propos,,vaud,unknown,";ileutune sigrande peur que....-Itout ,pour aussi ,",Glossaire vaud (1861),Line 650
demême,,vaud,unknown,P.F.Onnepeut donc pasdire :Etmoi itout .,Glossaire vaud (1861),Line 651
tement,,vaud,unknown,"d'un substantif .N.P.aussitôt mon arrivée ,aussitôt",Glossaire vaud (1861),Line 653
ledîner,,vaud,unknown,";D.aussitôt après mon arrivée ,aussitôt après ledîner .",Glossaire vaud (1861),Line 654
nedites,,vaud,unknown,pasilaautour dequarante mille francs .,Glossaire vaud (1861),Line 658
uneautre,,vaud,unknown,"personne engénéral ,sans endésigner aucune",Glossaire vaud (1861),Line 660
enparticulier,Acad .,vaud,unknown,":Quelqu'autre vous ledira mieux que moi. (Acad .)N.P.quelqu'un d'autre ,etc.P.F.-Onneditpas",Glossaire vaud (1861),Line 661
non,,vaud,unknown,"plus :personne d'autre ,rien d'autre ;D.personne autre ,",Glossaire vaud (1861),Line 664
rien,,vaud,unknown,"autre .-Lesautres fois,P.F.;onditautrefois . d'Or .",Glossaire vaud (1861),Line 665
glouton,"P.Nor.Gaffer ,manger en",vaud,unknown,";P.Nor.Gaffer ,manger en",Glossaire vaud (1861),Line 672
mal,,vaud,unknown,employé dans lesphrases suivantes :Qu'est devenu l'avance del'avoir battu .Ilfait unefameuse avance enne,Glossaire vaud (1861),Line 676
battant,Pr.avek,vaud,unknown,"paslecoup .-AVEC ,prép .(Pr.avek).N.P.être ami avec....;D.être l'ami de... N.P.compter avec lesdoigts ;D.compter sur",Glossaire vaud (1861),Line 679
lesdoigts,,vaud,unknown,.-Avec çàque...P.F.avecçàquejen'ai point d'argent .,Glossaire vaud (1861),Line 681
setrouve,Aveindre seconjugue surfeindre .,vaud,unknown,.N.P.aventer .(Aveindre seconjugue surfeindre .) qu'il estquestion d'une pluie subite etabondante ;lavasse,Glossaire vaud (1861),Line 684
pour,,vaud,unknown,unepluie subite etimpétueuse ;ondée pour unepluie,Glossaire vaud (1861),Line 687
subite,,vaud,unknown,"etpassagère .N.P.unecarre depluie ,unetapassée",Glossaire vaud (1861),Line 688
depluie,,vaud,unknown,",uneroille ,unerincée .Rincée peut sedire pour",Glossaire vaud (1861),Line 689
une,,vaud,unknown,"volée decoups debâton ,correction manuelle ;mais il",Glossaire vaud (1861),Line 690
est,,vaud,unknown,"pop . Pluie battante ,P.F. Onnepeut pasdire il",Glossaire vaud (1861),Line 691
pleut,,vaud,unknown,",iltombe desmagnins . - - 26 AVI",Glossaire vaud (1861),Line 692
lesborgnes,,vaud,unknown,"sont lesrois;D.Auroyaume desaveugles ,les",Glossaire vaud (1861),Line 698
borgnes,sont rois,vaud,unknown,sont rois.,Glossaire vaud (1861),Line 699
muette,),vaud,unknown,).,Glossaire vaud (1861),Line 701
vieux,,vaud,unknown,"motquisignifiait âne,ânesse .Ilestencore enusage",Glossaire vaud (1861),Line 704
dans,,vaud,unknown,lesdialectes méridionaux :L'aze mequille sijenele faispas!Sorte deserment affirmatif .Cemot estusité dans,Glossaire vaud (1861),Line 705
lacampagne,,vaud,unknown,.,Glossaire vaud (1861),Line 707
laformation,,vaud,unknown,"dubeurre .N.P.delabattue ,dulaitbattu .",Glossaire vaud (1861),Line 710
demaison,,vaud,unknown,.,Glossaire vaud (1861),Line 712
bauche,,vaud,unknown,faite avec grand bruit .Ilsontfaitunebacchanale,Glossaire vaud (1861),Line 714
quiaduré,Acad .,vaud,unknown,toute lanuit(Acad .)Lesubs.bacchanale n'est,Glossaire vaud (1861),Line 715
jamais,,vaud,unknown,masculin ;quel bacchanal !P.F.,Glossaire vaud (1861),Line 716
ceau,Acad .,vaud,unknown,".(Acad .) (Acad .)Nous disons ,affaire bouclée ;mais lesmots boucler ,",Glossaire vaud (1861),Line 719
bouclé,"dans cesens ,P.F",vaud,unknown,",dans cesens ,P.F.",Glossaire vaud (1861),Line 722
serin,,vaud,unknown,",gniôque ;D.nigaud ,nigaude ,benêt ,sot,sotte ,bestiasse ,",Glossaire vaud (1861),Line 724
gniole,,vaud,unknown,".Enrouchi ,gnole signifie simple ,niais . d'enfants :cetenfant badine ;ilyades hommes quibudi-",Glossaire vaud (1861),Line 725
nent,,vaud,unknown,comme des enfants .,Glossaire vaud (1861),Line 728
une,bafrée ,vaud,unknown,bafrée .,Glossaire vaud (1861),Line 730
débagouler,,vaud,unknown,"dans lelangage populaire ;mais cemot esttri- vial,demême quelesubs.bagout .",Glossaire vaud (1861),Line 734
allez,,vaud,unknown,prendre unbain ;D.jevais mebaigner . báillements .N.P.j'ailabaille .,Glossaire vaud (1861),Line 737
bassières,D.delabaissière devin,vaud,unknown,;D.delabaissière devin.,Glossaire vaud (1861),Line 742
parlequel,,vaud,unknown,"unpain enatouché unautre dans lefour.Dans cesens,N.P.baiser . lorsqu'il n'est question qued'un seul instrument .-D.l'hô- teldelaBalance etnon l'hôtel des Balances . Etre enba-",Glossaire vaud (1861),Line 744
lance,,vaud,unknown,",être ensuspens ,nesavoir quelle résolution ,quel parti",Glossaire vaud (1861),Line 749
prendre,Acad .,vaud,unknown,".Ilestenbalance ,ilnesaitàquoiserésoudre .(Acad .)",Glossaire vaud (1861),Line 750
balayure,ausing.D.desbalayures ,vaud,unknown,ausing.D.desbalayures .,Glossaire vaud (1861),Line 754
unesache,,vaud,unknown,"deriz,decafé,etc.;D.uneballe deriz,decafé, etc. Le mot sache P.F.dans cesens .",Glossaire vaud (1861),Line 756
belsamine,Sup.,vaud,unknown,". (Sup.)Cemot pourrait sedire pour banchette ,P.F. 28 BAN",Glossaire vaud (1861),Line 759
etquiendépend,,vaud,unknown,.N.P.rière Lausanne ;D.dans labanlieue deLausanne . lorsqu'il estquestion duvase debois oùselave lavais-,Glossaire vaud (1861),Line 765
selle,,vaud,unknown,.,Glossaire vaud (1861),Line 771
pour,,vaud,unknown,enfaire dubeurre ;N.P.labeurrière .,Glossaire vaud (1861),Line 773
chardé,,vaud,unknown,",embarbouillé ,embardouflé lafigure ,lesmains .D.il s'est barbouillé ,salilafigure ,lesmains .-L'adj .bouchard ,e,",Glossaire vaud (1861),Line 775
vaillon,,vaud,unknown,".Onlitdans Besch .Tavaillon ,morceau desapin re-",Glossaire vaud (1861),Line 779
fendu,,vaud,unknown,dont onsesert pour recouvrir lesmaisons .,Glossaire vaud (1861),Line 780
chargent,,vaud,unknown,"deleurbesogne ,ouqu'ils prennent pour l'objet de",Glossaire vaud (1861),Line 782
leurs,plaisanteries .N.P.bardeau ,vaud,unknown,plaisanteries .N.P.bardeau .,Glossaire vaud (1861),Line 783
barrées,Acad .,vaud,unknown,.(Acad .).,Glossaire vaud (1861),Line 786
barres,,vaud,unknown,.,Glossaire vaud (1861),Line 788
fermer,,vaud,unknown,"unpassage .N.P.claida ,claidal ,claidar .(Enlatin",Glossaire vaud (1861),Line 790
claudere,,vaud,unknown,"signifie fermer .)-Cleda ,s.f.,asignifié claie ,pa-",Glossaire vaud (1861),Line 791
lissade,,vaud,unknown,:,Glossaire vaud (1861),Line 792
Ilfitpar,RAYNOUARD .,vaud,unknown,dessus latour ungrand pont declaies . (RAYNOUARD .) tresongré;N.P.cracher aubassinet .,Glossaire vaud (1861),Line 794
dire,,vaud,unknown,.,Glossaire vaud (1861),Line 800
dire,,vaud,unknown,":ilabasté,pour ils'est rendu .Jeleferai baster ,pour",Glossaire vaud (1861),Line 802
jeleferai,,vaud,unknown,"céder ,convenir ,admettre ,reconnaître ,P.F.",Glossaire vaud (1861),Line 803
quillon,,vaud,unknown,.,Glossaire vaud (1861),Line 806
tonnet,,vaud,unknown,". Bâtonnet ,petite règle carrée ;N.P.uncarré ,un",Glossaire vaud (1861),Line 808
lignal,,vaud,unknown,.,Glossaire vaud (1861),Line 809
particulière,,vaud,unknown,del'instrument qu'en France onappelle une,Glossaire vaud (1861),Line 811
batte,,vaud,unknown,.,Glossaire vaud (1861),Line 812
