swiss_french,standard_french,dialect,part_of_speech,definition,source,notes
ARRÊTER,arré-,vaud,verb_active,N.P.crocher lescontrevents ;D.arré-,Glossaire Vaudois (1861),DCG parsed
ARRHES,,vaud,noun_feminine,plur .Donner desarrhes .N.P.deserrhes,Glossaire Vaudois (1861),DCG parsed
ARRIÈRE,,vaud,adverb,N.P.enerrière . N.P.Illeloue,Glossaire Vaudois (1861),DCG parsed
ARTICULATION,lesarticulations .,vaud,noun_feminine,N.P.lesnilles ;D.lesarticulations .,Glossaire Vaudois (1861),DCG parsed
ARTISONNÉ,,vaud,adjective,Seditdetoutcequiesttroué pardes,Glossaire Vaudois (1861),DCG parsed
ARTISTE,d'une femme qu'elle estunbonar-,vaud,noun_masculine,D.d'une femme qu'elle estunbonar-,Glossaire Vaudois (1861),DCG parsed
AS,,vaud,noun_masculine,N.P.uneas.,Glossaire Vaudois (1861),DCG parsed
ASPÉRULE,,vaud,noun_feminine,Plante quel'ontrouve dans lesbois et,Glossaire Vaudois (1861),DCG parsed
ASSENER,,vaud,verb_active,N.P.asséner .,Glossaire Vaudois (1861),DCG parsed
ASSEOIR,,vaud,verb_active,Asseyer pour asseoir P.F.,Glossaire Vaudois (1861),DCG parsed
ASSIETTÉE,,vaud,noun_feminine,"Plein uneassiette .N.P.,dans cesens,",Glossaire Vaudois (1861),DCG parsed
ASSOMMER,,vaud,verb_active,Leverbe étertir P.F.,Glossaire Vaudois (1861),DCG parsed
ASSOURDIR,,vaud,verb_active,"Rendre sourd ,étourdir .N.P.essour-",Glossaire Vaudois (1861),DCG parsed
ASSURER,,vaud,verb_active,etn.Assurer veut unrégime direct de,Glossaire Vaudois (1861),DCG parsed
ATOUT,,vaud,noun_masculine,.Carte demême couleur que,Glossaire Vaudois (1861),DCG parsed
ATMOSPHÈRE,Unelourde atmosphère etnon,vaud,noun_feminine,D.Unelourde atmosphère etnon,Glossaire Vaudois (1861),DCG parsed
ATTITRÉ,,vaud,adjective,Nepeutsedired'unhomme quiaunti-,Glossaire Vaudois (1861),DCG parsed
ATTRAPER,,vaud,verb_active,"N.P.accrocher unpapillon ,un",Glossaire Vaudois (1861),DCG parsed
AUGET,,vaud,noun_masculine,Petit vaisseau oùl'onmet lemanger des,Glossaire Vaudois (1861),DCG parsed
AULNE,,vaud,noun_masculine,.Arbre àbois tendre .,Glossaire Vaudois (1861),DCG parsed
N,,vaud,unknown,P.delaverne .-Onlitdans Raynouard :,Glossaire Vaudois (1861),DCG parsed
AUPARAVANT,,vaud,adverb,Neveut aucun régime .N.P.aupa-,Glossaire Vaudois (1861),DCG parsed
AURICULAIRE,,vaud,adjective,"Doigt auriculaire ,oupetit doigt .",Glossaire Vaudois (1861),DCG parsed
N,,vaud,unknown,"P.leglingain .(Enallemand Klein Klein ,petit petit.)En",Glossaire Vaudois (1861),DCG parsed
AURORE,,vaud,noun_feminine,Labrillante aurore .N.P.le....,Glossaire Vaudois (1861),DCG parsed
AUSSITOT,,vaud,adverb,Cemotnedoitpasêtresuivi immédia-,Glossaire Vaudois (1861),DCG parsed
AUTOMNE,,vaud,noun_masculine,etf.(Pr.ôtone .),Glossaire Vaudois (1861),DCG parsed
AUTRE,,vaud,adjective,S'emploie quelquefois absolument pour dire,Glossaire Vaudois (1861),DCG parsed
AVALANCHE,,vaud,noun_feminine,N.P.uneévalanche .,Glossaire Vaudois (1861),DCG parsed
AVALER,,vaud,verb_active,"Jecroyais qu'il voulait m'agafer ,P.F.-",Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,Jecroyais qu'il voulait m'avaler .,Glossaire Vaudois (1861),DCG parsed
AVALOIRE,,vaud,noun_feminine,Grand gosier ;fam.N.P.unavaloir ;,Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,uneavaloire .Ilaune belle avaloire .(Acad .),Glossaire Vaudois (1861),DCG parsed
AVANCE,,vaud,noun_feminine,"Lemot avance estfrançais ,mais ilest",Glossaire Vaudois (1861),DCG parsed
AVEINDRE,,vaud,verb_active,Tirer une chose d'un endroit oùelle,Glossaire Vaudois (1861),DCG parsed
AVEUGLE,,vaud,noun_masculine,"N.P.Dans leroyaume des aveugles ,",Glossaire Vaudois (1861),DCG parsed
AVIS,,vaud,noun_masculine,(Pr.avietaviz devant unevoyelle ouuneh,Glossaire Vaudois (1861),DCG parsed
AVRIL,,vaud,noun_masculine,(mouillez lalettre 1).,Glossaire Vaudois (1861),DCG parsed
AZE,,vaud,noun_masculine,Onentend dire:L'aze meprenne .Azeestun,Glossaire Vaudois (1861),DCG parsed
BABEURRE,,vaud,noun_masculine,Liqueur séreuse séparée dulaitaprès,Glossaire Vaudois (1861),DCG parsed
BABOUCHE,,vaud,noun_feminine,N.P.desbamboches pour dessouliers,Glossaire Vaudois (1861),DCG parsed
BACCHANALE,,vaud,noun_feminine,Seditausing.etfam.d'une dé-,Glossaire Vaudois (1861),DCG parsed
BACHOT,,vaud,noun_masculine,"Petit bateau .Lesmots liquette ,loquette ,",Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,"F.dans cesens .Loquette signifie petite pièce ,petit mor-",Glossaire Vaudois (1861),DCG parsed
BADINER,,vaud,verb_neutral,",peut sedire pour s'amuser àdesjeux",Glossaire Vaudois (1861),DCG parsed
BAFRE,,vaud,noun_feminine,Repas abondant (basetpop.)(Acad .)N.P.,Glossaire Vaudois (1861),DCG parsed
BAGARRE,,vaud,noun_feminine,Querelle tumultueuse .N.P.gabarre .,Glossaire Vaudois (1861),DCG parsed
BAGOUT,,vaud,noun_masculine,Peut sedire ;mais bagouter P.F.Ondit,Glossaire Vaudois (1861),DCG parsed
BAIGNER,,vaud,verb_active,"etpr.N.P.jevaisbaigner ,lorsque vous",Glossaire Vaudois (1861),DCG parsed
BAILLEMENT,,vaud,noun_masculine,Action debâiller .Avoir defréquents,Glossaire Vaudois (1861),DCG parsed
BAILLI,,vaud,noun_masculine,N.P.baillif .,Glossaire Vaudois (1861),DCG parsed
BAISSIÈRE,,vaud,noun_feminine,Vintrouble au-dessus delalie.N.P.des,Glossaire Vaudois (1861),DCG parsed
BAISURE,,vaud,noun_feminine,"Onpeut aussi direbiseau ,s.m.Endroit",Glossaire Vaudois (1861),DCG parsed
BALANCE,,vaud,noun_feminine,"Dites une balance etnon desbalances ,",Glossaire Vaudois (1861),DCG parsed
N,,vaud,unknown,"P.ilestenbalan ,ilétait enbalan de....",Glossaire Vaudois (1861),DCG parsed
BALAYER,,vaud,verb_active,N.P.balier .,Glossaire Vaudois (1861),DCG parsed
BALAYURES,,vaud,noun_feminine,"plur.Nedites nibaliures auplur.,ni",Glossaire Vaudois (1861),DCG parsed
BALLE,jouer àlaballe .-N.P.,vaud,noun_feminine,N.P.paumer ;D.jouer àlaballe .-N.P.,Glossaire Vaudois (1861),DCG parsed
BALSAMINE,,vaud,noun_feminine,.Plante cultivée .N.P.,Glossaire Vaudois (1861),DCG parsed
BALUSTRE,,vaud,noun_masculine,N.P.unebalustre .,Glossaire Vaudois (1861),DCG parsed
BANCELLE,,vaud,noun_feminine,Petit banc long etétroit .(Gattel .),Glossaire Vaudois (1861),DCG parsed
BANLIEUE,,vaud,noun_feminine,Etendue depays quientoure uneville,Glossaire Vaudois (1861),DCG parsed
BANNETON,,vaud,noun_masculine,Coffre percé pour garder lepoisson .,Glossaire Vaudois (1861),DCG parsed
N,,vaud,unknown,"P.réservoir ,cemot ayant uneautre signification .",Glossaire Vaudois (1861),DCG parsed
BAQUET,"baquet ,etsouillarde ,",vaud,noun_masculine,"N.P.bagnolet ;D.baquet ,etsouillarde ,",Glossaire Vaudois (1861),DCG parsed
BARATTE,,vaud,noun_feminine,Vaisseau enbois oùl'on bat lacrême,Glossaire Vaudois (1861),DCG parsed
BARBOUILLER,,vaud,verb_pronominal,Sesalir.N.P.ils'est bou-,Glossaire Vaudois (1861),DCG parsed
P,letemps sebarbouille .,vaud,unknown,F.- N.P. letemps s'embarbouille ;D.letemps sebarbouille .,Glossaire Vaudois (1861),DCG parsed
BARDEAU,"bardeau ,ta-",vaud,noun_masculine,"N.P.ancelle ,tavillon ;D.bardeau ,ta-",Glossaire Vaudois (1861),DCG parsed
BARDOT,,vaud,noun_masculine,Personne surlaquelle lesautres sedé-,Glossaire Vaudois (1861),DCG parsed
BARIL,,vaud,noun_masculine,Notre charmant diminutif tonnelet P.F.,Glossaire Vaudois (1861),DCG parsed
BARRES,jouer aux,vaud,noun_feminine,plur.N.P.jouer àbarre ;D.jouer aux,Glossaire Vaudois (1861),DCG parsed
BARRIÈRE,,vaud,noun_feminine,Assemblage depièces debcisservant à,Glossaire Vaudois (1861),DCG parsed
BASSIN,,vaud,noun_masculine,"Cracher aubassin ,donner del'argent con-",Glossaire Vaudois (1861),DCG parsed
BASSINOIRE,,vaud,noun_feminine,"MOINE ,s.m.Chauffe -litpeut aussi se",Glossaire Vaudois (1861),DCG parsed
BASTER,,vaud,verb_neutral,"Badiner ,niaiser ,suffire .Onnepeut pas",Glossaire Vaudois (1861),DCG parsed
BATARD,,vaud,noun_masculine,"Enfant naturel .N.P.unbasque ,unbas-",Glossaire Vaudois (1861),DCG parsed
BATONNET,jouer auba-,vaud,noun_masculine,N.P.jouer àbasculo ;D.jouer auba-,Glossaire Vaudois (1861),DCG parsed
BATTE,,vaud,noun_feminine,Jecrois quenotre rebatte n'est qu'une forme,Glossaire Vaudois (1861),DCG parsed
BATTRE,battre en,vaud,verb_active,N.P.battre àlagrange ;D.battre en,Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,"jouer atout oufaire atout .Setauper ,pour sebattre ,",Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,F.,Glossaire Vaudois (1861),DCG parsed
BAUDRIER,,vaud,noun_masculine,"N.P.bodrier ,boudrier .",Glossaire Vaudois (1861),DCG parsed
BAUME,,vaud,noun_masculine,Médicament balsamique .Nous employons,Glossaire Vaudois (1861),DCG parsed
BAVARD,,vaud,noun_masculine,Quiparle sans mesure .-Bavard nepeut,Glossaire Vaudois (1861),DCG parsed
BAVARDER,,vaud,verb_neutral,Parler beaucoup .N.P.batoiller ;,Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,"bavarder ,cailleter ,caqueter ,jabotter.- Sebavarder ,P.F.;",Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,semoquer .,Glossaire Vaudois (1861),DCG parsed
BAVETTE,,vaud,noun_feminine,N.P.baveron .(Baveron seditenrou-,Glossaire Vaudois (1861),DCG parsed
BAYER,bayer aux,vaud,verb_neutral,N.P.bailler auxcorneilles ;D.bayer aux,Glossaire Vaudois (1861),DCG parsed
BÉAT,,vaud,noun_masculine,Celui quiaffecte deladévotion .,Glossaire Vaudois (1861),DCG parsed
BEAUCOUP,,vaud,adverb,"Beaucoup ,employé dans lesens de",Glossaire Vaudois (1861),DCG parsed
BEC,,vaud,noun_masculine,"Ilfaut prononcer bek,dans bec-de-canne ,bec-",Glossaire Vaudois (1861),DCG parsed
BECQUÉE,,vaud,noun_feminine,N.P.béchée .,Glossaire Vaudois (1861),DCG parsed
BÉGUEULE,,vaud,noun_feminine,Prude impertinente .-Bégueule ne,Glossaire Vaudois (1861),DCG parsed
BEIGNET,,vaud,noun_masculine,"N.P.beugnet ,bignet .",Glossaire Vaudois (1861),DCG parsed
BÉQUILLE,,vaud,noun_feminine,Crosse P.F.dans cesens.,Glossaire Vaudois (1861),DCG parsed
BÉRET,,vaud,noun_masculine,"Sorte decoiffure .N.P.une barette ,une",Glossaire Vaudois (1861),DCG parsed
BERNIQUE,,vaud,adverb,Sorte denégation oud'interjection ;,Glossaire Vaudois (1861),DCG parsed
BESAIGRE,,vaud,adjective,"Vinbesaigre ,seditduvindont lasaveur",Glossaire Vaudois (1861),DCG parsed
BESICLES,des besi-,vaud,noun_feminine,plur.N.P.desbesicles ;D.des besi-,Glossaire Vaudois (1861),DCG parsed
BESOIN,,vaud,noun_masculine,N.P.cepantalon abesoin deracommoder ;,Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,cepantalon abesoin d'être raccommodé .,Glossaire Vaudois (1861),DCG parsed
BESTIASSE,"unebestiasse ,une",vaud,noun_feminine,"N.P.unegnôque ;D.unebestiasse ,une",Glossaire Vaudois (1861),DCG parsed
BESTORS,,vaud,adjective,"S'est ditpour oblique ,tortueux ;onl'em-",Glossaire Vaudois (1861),DCG parsed
BÊTA,,vaud,noun_masculine,Homme extrêmement sot.N.P.bêtard .,Glossaire Vaudois (1861),DCG parsed
BETTE,,vaud,noun_feminine,Plante potagère .N.P.desblettes .,Glossaire Vaudois (1861),DCG parsed
BETTERAVE,,vaud,noun_feminine,N.P.del'abondance .,Glossaire Vaudois (1861),DCG parsed
BEURRE,dubeurre,vaud,noun_masculine,N.P.dubeurre cuit;D.dubeurre,Glossaire Vaudois (1861),DCG parsed
BEURRÉ,,vaud,noun_masculine,Sorte depoire fondante .N.P.unepoire,Glossaire Vaudois (1861),DCG parsed
BEURRÉE,unebeur-,vaud,noun_feminine,N.P.unecroûte aubeurre ;D.unebeur-,Glossaire Vaudois (1861),DCG parsed
BIBLIOTHÈQUE,,vaud,noun_feminine,N.P.biblothèque .,Glossaire Vaudois (1861),DCG parsed
BIGARREAU,,vaud,noun_masculine,Grosse cerise àchair ferme .N.P.,Glossaire Vaudois (1861),DCG parsed
